,uniq_id,rating
77,B0009O5MWI:great_system:trevor_s._hurlington,4
78,"B00008SCFU:excellent_product,_and_i_received_it_free!:just_me",5
79,B0001IXUEY:crappy_tuner:kizzoom,2
80,B000067VBM:too_hard_to_open:nsc,1
81,B000AYUYAM:please_read_this_before_you_invest__your_cash_in_this_product!!!!:sherri_taylor,1
82,B00005UKBG:does_the_job_while_looking_good!!:mr.blb,4
83,"B0007P4G76:xtreme_tb264dko_264-disc_cd/dvd_case_-_rebate_problem:j._murtaugh_""mad_as_hell""",1
84,B000093IRC:first_dvd_burn_was_successful!!!:k._ng,5
85,"B00006IC4E:excellent,_but_fragile:geoffrey_levine",4
86,B00005UKBG:it_does_the_job:diane_m._chalmers,4
87,"B000AYUYAM:easy_to_use,_lightweight:robert_auer",4
88,"B00006RZ1G:excels_in_every_way:t._hancock_""poet_newbie""",5
89,B0001IXUEY:perfect_for_my_needs:vask,5
90,B0007P4G76:great_cd/dvd_holder:amazon_addict,4
91,B00008SCFU:works_like_a_champ:d._knutson,5
92,B000067VBM:these_jewel_cases_are_fine:leonard_kocurek,5
93,"B00008SCFU:seems_to_work_just_fine:james_m._sittnick_""cutler,_cutlery_dealer""",4
94,"B00006RZ1G:awsome_gamepad:jim_""fender_17""",5
95,"B00006IC4E:pretty_good_book_thing:c._s._mako_""csmthepr""",4
96,B00008SCFU:excellent_sd_card:k._slocum,5
97,B00006RZ1G:great_quality:l._a._long,5
98,"B00009YUPS:don't_buy:k._carter_""aot""",1
99,B0001IXUEY:good_purchase:r._latham,4
